0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
5.96E-01,5.44E-01,6.41E-01,8.39E-01,7.23E-01,7.92E-01,6.86E-01,6.86E-01,6.85E-01,5.01E-01,5.01E-01,5.01E-01,7.23E-03,1.27E-02,2.31E-02,7.82E-03,2.41E-02,3.15E-02,5.61E-01,5.61E-01,5.61E-01,5.62E-01,5.63E-01,5.63E-01,5.43E-01,5.60E-01,3.60E-01,5.43E-01,4.86E-01,6.48E-01,2.95E-01,3.10E-01,3.02E-01,2.06E-01,2.09E-01,2.11E-01,9.28E-05,1.21E-01,9.96E-02,6.65E-05,7.20E-02,1.16E-01,3.54E-01,4.03E-01,4.07E-01,3.54E-01,3.84E-01,3.45E-01
5.96E-01,5.54E-01,6.47E-01,8.41E-01,7.40E-01,7.79E-01,4.91E-01,4.91E-01,4.90E-01,6.03E-01,6.03E-01,6.04E-01,2.56E-02,2.58E-02,9.75E-02,2.41E-02,6.37E-02,7.05E-02,5.85E-01,5.85E-01,5.85E-01,5.87E-01,5.87E-01,5.87E-01,5.41E-01,5.77E-01,4.94E-01,5.43E-01,5.29E-01,6.15E-01,2.72E-01,2.86E-01,2.78E-01,2.47E-01,2.51E-01,2.54E-01,2.24E-04,7.77E-03,6.66E-02,2.00E-04,2.84E-02,5.32E-02,3.15E-01,3.58E-01,3.61E-01,3.61E-01,3.88E-01,3.53E-01
5.97E-01,5.44E-01,6.44E-01,8.39E-01,7.22E-01,7.84E-01,6.59E-01,6.59E-01,6.59E-01,4.79E-01,4.79E-01,4.80E-01,4.15E-04,1.45E-03,5.97E-03,5.56E-04,1.67E-03,3.99E-03,1.67E-01,1.67E-01,1.67E-01,1.67E-01,1.67E-01,1.67E-01,5.42E-01,5.35E-01,4.44E-01,5.43E-01,5.03E-01,5.83E-01,2.95E-01,3.10E-01,3.02E-01,2.21E-01,2.25E-01,2.28E-01,2.12E-04,3.76E-02,9.39E-02,2.50E-04,3.75E-02,6.81E-02,3.87E-01,4.39E-01,4.48E-01,3.54E-01,3.84E-01,3.45E-01
5.96E-01,5.46E-01,6.51E-01,8.39E-01,7.23E-01,7.85E-01,9.07E-01,9.07E-01,9.07E-01,9.62E-01,9.62E-01,9.63E-01,6.60E-03,1.22E-02,1.60E-02,6.15E-03,1.73E-02,1.93E-02,4.57E-01,4.57E-01,4.57E-01,4.58E-01,4.58E-01,4.58E-01,5.42E-01,5.75E-01,4.63E-01,5.44E-01,5.13E-01,6.19E-01,3.84E-01,3.99E-01,3.86E-01,2.42E-01,2.46E-01,2.50E-01,1.21E-04,4.84E-02,3.47E-02,1.05E-04,1.38E-02,5.75E-02,3.75E-01,4.24E-01,4.31E-01,3.08E-01,3.36E-01,2.99E-01
5.96E-01,5.45E-01,6.45E-01,8.39E-01,7.23E-01,7.82E-01,7.29E-01,7.29E-01,7.29E-01,6.99E-01,6.99E-01,7.00E-01,2.30E-04,1.30E-03,5.67E-03,2.12E-04,2.17E-03,5.19E-03,3.70E-02,3.70E-02,3.70E-02,3.75E-02,3.75E-02,3.76E-02,5.42E-01,5.60E-01,4.61E-01,5.43E-01,5.23E-01,5.77E-01,3.23E-01,3.39E-01,3.29E-01,2.06E-01,2.10E-01,2.12E-01,2.36E-04,1.29E-02,9.76E-02,2.86E-04,2.90E-02,5.30E-02,4.27E-01,4.85E-01,5.00E-01,3.42E-01,3.71E-01,3.34E-01
5.94E-01,5.38E-01,6.60E-01,8.38E-01,7.23E-01,7.45E-01,4.00E-01,4.00E-01,3.99E-01,8.26E-02,8.25E-02,8.40E-02,2.66E-02,3.12E-02,9.49E-02,2.77E-02,5.90E-02,6.50E-02,7.05E-01,7.05E-01,7.05E-01,7.07E-01,7.07E-01,7.07E-01,5.43E-01,5.41E-01,4.65E-01,5.45E-01,5.14E-01,5.72E-01,3.52E-01,3.68E-01,3.58E-01,1.34E-01,1.36E-01,1.37E-01,2.50E-04,1.50E-02,3.35E-02,2.45E-04,1.10E-02,2.11E-02,3.03E-01,3.45E-01,3.53E-01,3.16E-01,3.44E-01,3.10E-01
5.96E-01,5.42E-01,6.59E-01,8.39E-01,7.26E-01,7.82E-01,5.58E-01,5.58E-01,5.57E-01,5.73E-01,5.73E-01,5.73E-01,5.62E-04,4.59E-03,3.71E-02,5.66E-04,1.18E-02,2.29E-02,1.77E-01,1.77E-01,1.77E-01,1.78E-01,1.78E-01,1.78E-01,5.42E-01,5.10E-01,5.05E-01,5.44E-01,5.29E-01,5.78E-01,3.05E-01,3.21E-01,3.09E-01,2.15E-01,2.18E-01,2.21E-01,2.32E-04,3.89E-02,6.00E-02,2.33E-04,4.69E-02,8.35E-02,4.03E-01,4.57E-01,4.61E-01,3.10E-01,3.39E-01,3.02E-01
5.97E-01,5.46E-01,6.75E-01,8.39E-01,7.42E-01,7.45E-01,6.89E-01,6.89E-01,6.88E-01,6.50E-01,6.50E-01,6.51E-01,2.98E-02,3.70E-02,1.18E-01,2.93E-02,5.91E-02,6.48E-02,8.27E-01,8.27E-01,8.28E-01,8.28E-01,8.28E-01,8.28E-01,5.42E-01,5.63E-01,4.91E-01,5.44E-01,5.22E-01,5.57E-01,3.38E-01,3.54E-01,3.49E-01,2.01E-01,2.04E-01,2.07E-01,2.96E-04,2.40E-02,4.33E-02,2.89E-04,8.69E-03,2.54E-02,2.88E-01,3.30E-01,3.25E-01,3.16E-01,3.44E-01,3.13E-01
5.97E-01,5.51E-01,6.71E-01,8.39E-01,7.29E-01,7.99E-01,5.37E-01,5.37E-01,5.35E-01,5.77E-01,5.77E-01,5.76E-01,2.01E-02,2.18E-02,5.92E-02,2.00E-02,4.25E-02,5.30E-02,3.11E-01,3.11E-01,3.11E-01,3.13E-01,3.13E-01,3.13E-01,5.41E-01,5.82E-01,4.64E-01,5.44E-01,5.11E-01,6.04E-01,3.91E-01,4.06E-01,3.89E-01,2.10E-01,2.13E-01,2.15E-01,1.73E-04,1.08E-02,2.37E-02,1.58E-04,1.33E-02,1.15E-02,3.81E-01,4.32E-01,4.46E-01,2.88E-01,3.17E-01,2.80E-01
5.96E-01,5.45E-01,6.44E-01,8.38E-01,7.25E-01,7.87E-01,5.43E-01,5.43E-01,5.43E-01,5.31E-01,5.31E-01,5.31E-01,5.71E-03,7.87E-03,8.81E-03,5.14E-03,1.26E-02,9.01E-03,2.44E-01,2.44E-01,2.44E-01,2.44E-01,2.44E-01,2.44E-01,5.42E-01,5.70E-01,4.53E-01,5.44E-01,5.21E-01,6.66E-01,2.88E-01,3.03E-01,2.95E-01,1.97E-01,2.00E-01,2.03E-01,1.57E-04,2.19E-02,2.80E-02,1.88E-04,2.07E-02,9.62E-02,4.03E-01,4.57E-01,4.68E-01,3.13E-01,3.42E-01,3.06E-01
